id,Summary,Component,Status,Owner,Type,Priority,Milestone,Severity,Resolution,Actual Points,Points,Sponsor,Keywords
29729,Work out which networks to run in Chutney's CI,Core Tor/Chutney,merge_ready,teor,enhancement,Medium,,Normal,,3,1,Sponsor19,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30058,Chutney bootstrap-network script uses the wrong network flavour,Core Tor/Chutney,closed,teor,defect,Low,,Normal,fixed,0.1,0.1,Sponsor19,"fast-fix, chutney-ci, network-team-roadmap-2019-Q1Q2"
30059,Update chutney's README,Core Tor/Chutney,closed,teor,defect,Medium,,Normal,fixed,0.2,0.2,Sponsor19,"doc, chutney-ci, network-team-roadmap-2019-Q1Q2"
30063,"Add unit tests to chutney, and run them in Travis",Core Tor/Chutney,closed,teor,enhancement,Medium,,Normal,fixed,0.2,0.2,Sponsor19,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30064,Chutney often fails because Tor hasn't bootstrapped yet,Core Tor/Chutney,closed,teor,defect,Medium,,Normal,fixed,0.3,0.5,Sponsor19,"chutney-ci, network-team-roadmap-2019-Q1Q2"
30065,Add shellcheck tests to chutney,Core Tor/Chutney,closed,teor,enhancement,Medium,,Normal,fixed,0.2,0.2,Sponsor19,"chutney-ci, network-team-roadmap-2019-Q1Q2"
20473,Fix Chutney Nodes that don't bootstrap,Core Tor/Chutney,closed,teor,defect,Medium,,Normal,fixed,0.4,1,Sponsor19-can,network-team-roadmap-2019-Q1Q2-maybe
30224,Add the tor versions for bridge-distribution-request,Core Tor/Tor,closed,teor,defect,Medium,Tor: 0.4.1.x-final,Normal,implemented,0.2,0.1,Sponsor19-can,"tor-spec, fast-fix"
28633,Pad on specific circuit purposes + ltups,Core Tor/Tor,closed,,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,10,10,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding"
28635,Clean up PADDING_TODO.txt,Core Tor/Tor,closed,,defect,Medium,Tor: 0.4.0.x-final,Normal,fixed,,,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding"
28778,Rename some circuitpadding structs,Core Tor/Tor,closed,,defect,Medium,Tor: unspecified,Normal,fixed,,,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding, refactor, technical-debt"
28779,Remove double function declarations in circuitpadding.c/test_circuitpadding.c,Core Tor/Tor,closed,,defect,Medium,Tor: unspecified,Normal,fixed,,,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding, technical-debt, refactor, easy"
29500,Broken circuitpadding unittests on appveyor,Core Tor/Tor,closed,mikeperry,defect,High,Tor: 0.4.1.x-final,Normal,fixed,3.5,3,Sponsor2,"asn-merge, nickm-merge, wtf-pad, tor-relay, tor-cell, padding, 040-must, 040-backport"
29990,Handle zero monotonic time differences in the circuit padding code,Core Tor/Tor,closed,mikeperry,defect,Medium,Tor: 0.4.1.x-final,Normal,fixed,,2,Sponsor2,"wtf-pad, tor-relay, tor-cell, padding"
29527,Division by zero: undefined behaviour in circuitpadding/circuitpadding_sample_distribution test,Core Tor/Tor,closed,teor,defect,High,Tor: 0.4.0.x-final,Normal,fixed,,,Sponsor2-can,"was-merged-to-041-after-29298, nickm-merge, teor-merge, regression, tor-ci, tor-test, 040-must, 040-backport, asn-merge"
13739,Optimize the functions called in circuit_launch_by_extend_info(),Core Tor/Tor,closed,,defect,Medium,Tor: unspecified,Normal,duplicate,,3,Sponsor27-can,"tor-hs, performance, profile, optimization"
15463,Tor deals poorly with a very large number of incoming connection requests.,Core Tor/Tor,closed,yawning,defect,Medium,Tor: unspecified,Normal,duplicate,,15,Sponsor27-can,"tor-hs, performance, tor-dos"
