id,Summary,Modified,Component,Owner,Type,Priority,Milestone,Resolution,Actual Points,Points,Sponsor
29017,PaddingStatistics should be disabled when ExtraInfoStatistics is 0,8 mar. 2019 10:11:29,Core Tor/Tor,teor,defect,Low,Tor: 0.3.5.x-final,,1.3,0.2,SponsorV-can
29204,Inspect circuit queue during padding decisions,8 mar. 2019 21:09:53,Core Tor/Tor,,defect,Very High,Tor: 0.4.0.x-final,fixed,3,5,Sponsor2
29618,"Chutney doesn't use python3 if a ""python2"" binary exists, and fails if it uses python3 anyway.",11 mar. 2019 00:34:28,Core Tor/Chutney,nickm,defect,Very High,,fixed,.3,,Sponsor19
27912,Add travis CI for the Chutney repository,13 mar. 2019 02:16:58,Core Tor/Chutney,teor,enhancement,High,,fixed,1.5,0.5,Sponsor19
29748,Let test-network.sh tolerate some number of failures,13 mar. 2019 02:41:42,Core Tor/Chutney,nickm,enhancement,Medium,Tor: 0.4.1.x-final,fixed,.3,.3,Sponsor19
28569,Mark outdated dirservers in reasonably live consensuses,13 mar. 2019 04:28:46,Core Tor/Tor,teor,defect,Medium,Tor: 0.4.0.x-final,fixed,0.2,0.2,Sponsor8-can
28851,Do we really need to check our hardwired DH primes at startup?,13 mar. 2019 04:37:20,Core Tor/Tor,nickm,defect,Medium,Tor: 0.3.5.x-final,fixed,0,,Sponsor8-can
28731,log bootstrap tag name for easier troubleshooting,13 mar. 2019 04:37:58,Core Tor/Tor,catalyst,defect,Medium,Tor: 0.4.0.x-final,implemented,,0.1,Sponsor8-can
28838,Make curve25519_basepoint_spot_check() faster,13 mar. 2019 04:38:48,Core Tor/Tor,nickm,defect,Medium,Tor: 0.3.5.x-final,implemented,0,,Sponsor8-can
29298,Explicitly specify histogram bin endpoints/widths,13 mar. 2019 14:38:54,Core Tor/Tor,,defect,Very High,Tor: 0.4.1.x-final,fixed,6,5,Sponsor2
23512,Bandwidth stats info leak upon close of circuits with queued cells,13 mar. 2019 23:09:39,Core Tor/Tor,,defect,Medium,Tor: 0.3.4.x-final,fixed,,,SponsorQ
29762,Update the README for new features,14 mar. 2019 00:45:06,Core Tor/Chutney,teor,defect,Medium,,fixed,,0.1,Sponsor19
29221,Tooling to track code-style/best-practices violations,14 mar. 2019 12:13:19,Core Tor/Tor,,enhancement,Medium,Tor: 0.4.1.x-final,implemented,4,3,Sponsor31-can
,,,,,,,,,13,13,
26931,Wrong service-side HSv3 hash ring for HSv3 once a day (low impact),18 mar. 2019 15:07:06,Core Tor/Tor,,defect,Medium,Tor: 0.3.5.x-final,not a bug,,,Sponsor27
27841,"Surprise race: Intro point closes circuit after NACK, at the same time as client tries to extend circuit to new intro point",18 mar. 2019 15:08:53,Core Tor/Tor,neel,defect,Medium,Tor: 0.3.5.x-final,fixed,,,Sponsor27
22132,Chutney should avoid waiting for set times: wait for conditions instead,19 mar. 2019 05:14:01,Core Tor/Chutney,nickm,defect,Medium,,fixed,1.2,2,Sponsor19
29761,"Track chutney CI failures, and tweak the allow failures settings",21 mar. 2019 02:36:01,Core Tor/Chutney,teor,defect,Medium,,fixed,,1,Sponsor19-must
29693,Decrease probability of stochastic failures in test-slow,22 mar. 2019 15:18:57,Core Tor/Tor,asn,defect,High,Tor: 0.4.0.x-final,fixed,0.5,0.5,Sponsor2-must
29756,Check for correct header macro guards.,25 mar. 2019 04:02:26,Core Tor/Tor,nickm,defect,Low,Tor: 0.4.1.x-final,fixed,.1,.1,Sponsor31-can
28636,Address WTF-PAD comments by Nick (2018-11-27 over IRC),25 mar. 2019 13:04:04,Core Tor/Tor,,defect,High,Tor: 0.4.1.x-final,fixed,5,3,Sponsor2
29789,practracker.py codec exception in some locales,26 mar. 2019 03:04:02,Core Tor/Tor,catalyst,defect,Medium,Tor: 0.4.1.x-final,fixed,0.1,0.1,Sponsor31-can
29018,Make all statistics depend on ExtraInfoStatistics,26 mar. 2019 13:38:27,Core Tor/Tor,teor,enhancement,Medium,Tor: 0.4.1.x-final,fixed,2,0.1,SponsorV-can
29894,Initial split-up on control.c,26 mar. 2019 14:46:45,Core Tor/Tor,nickm,defect,Medium,Tor: 0.4.1.x-final,fixed,1,,Sponsor31-can
28925,distinguish PT vs proxy for real in bootstrap tracker,26 mar. 2019 23:44:31,Core Tor/Tor,catalyst,defect,High,Tor: 0.4.0.x-final,fixed,2,2,Sponsor19
29874,torrc no longer accepts space in executable paths,27 mar. 2019 02:33:12,Core Tor/Tor,ahf,defect,High,Tor: 0.4.0.x-final,fixed,0.1,1,Sponsor19-must
28226,Backend for an async publish-subcribe messaging system for cross-module communications,27 mar. 2019 12:32:26,Core Tor/Tor,nickm,enhancement,Medium,Tor: 0.4.1.x-final,fixed,18,8,Sponsor31-must
28281,outline of high-level bootstrap tracker abstractions,29 mar. 2019 20:27:19,Core Tor/Tor,catalyst,task,Medium,Tor: unspecified,implemented,2,0.5,Sponsor19
27947,Chutney's owning controller process code compares strings with ints,30 mar. 2019 02:21:17,Core Tor/Chutney,teor,defect,Medium,,fixed,0.1,0.1,Sponsor19
,,,,,,,,,30,17,
