id,Summary,Component,Status,Owner,Type,Priority,Milestone,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Sponsor,Reporter,Keywords
29315,Write down guidelines for adding new stats,Metrics/Website,accepted,irl,enhancement,Very High,,,Normal,,3 feb. 2019 20:15:10,25 abr. 2019 10:40:30,,,3,,,karsten,metrics-roadmap-2019-q2
29344,"Consider heartbeat frequency, logging and extra-info statistics",Metrics/Analysis,new,metrics-team,task,Very High,,,Normal,,5 feb. 2019 15:45:35,5 feb. 2019 15:45:35,,,,,,irl,
28322,Deploy better notification system for operational issues,Metrics,accepted,irl,project,High,,,Normal,,5 nov. 2018 11:29:46,18 may. 2019 22:34:06,,,10,,,karsten,metrics-roadmap-2019-q2
28327,Make sure that each service has at least two operators,Metrics,new,metrics-team,task,High,,,Normal,,5 nov. 2018 13:06:13,11 feb. 2019 12:09:17,,,,,,karsten,metrics-roadmap-2019-q2
29458,Make sure that op-hk (and the other instances) do not run out of disk space,Metrics/Onionperf,new,metrics-team,defect,High,,,Normal,,11 feb. 2019 09:44:13,1 may. 2019 08:03:49,,,,,,karsten,
29459,Get irl up to speed on operations for metrics-web,Metrics/Website,new,metrics-team,task,High,,,Normal,,11 feb. 2019 12:08:25,11 feb. 2019 12:08:25,,#28327,0.5,,,irl,metrics-roadmap-2019-q2
29460,Get irl up to speed on operations for exonerator,Metrics,new,metrics-team,task,High,,,Normal,,11 feb. 2019 12:09:57,11 feb. 2019 12:09:57,,#28327,0.5,,,irl,metrics-roadmap-2019-q2
30351,Unknown error in prepare_* functions using the spread() function,Metrics/Website,new,metrics-team,defect,High,,,Normal,,1 may. 2019 13:41:45,13 may. 2019 10:22:55,,,,,,karsten,
30499,"In Tor Metrics / Relay Search, users are able to enter the digital fingerprint of a bridge to run a successful search and display the data about that bridge, but the Relay Search page states, ""If you are searching for a bridge, you will need to search by the hashed fingerprint. This prevents leaking the fingerprint of the bridge when searching.""",Metrics/Relay Search,new,metrics-team,defect,High,,,Normal,,13 may. 2019 23:14:27,13 may. 2019 23:14:27,,,,,,monmire,Relay-Search-accepts-bridge-digital-signature issue
4943,Make network graphs with X / consensus weight?,Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,22 ene. 2012 12:46:08,6 dic. 2017 04:50:54,,,,,,Sebastian,
8105,Provide an overview of Analysis ticket results for researchers,Metrics/Analysis,assigned,metrics-team,enhancement,Medium,,,Normal,,30 ene. 2013 13:39:31,6 dic. 2017 04:50:54,,,,,,karsten,
9778,Add votes document type,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,19 sep. 2013 10:09:37,20 sep. 2017 13:38:20,,,,,,karsten,
10222,Implement network wide and router specific views of malicious BGP route events,Metrics/Analysis,assigned,metrics-team,enhancement,Medium,,,Normal,,23 nov. 2013 09:47:29,6 dic. 2017 04:50:54,,,,,,anon,nickm-cares
10223,Add BGP route attack email notification service to metrics utilities / tools as descriptor endpoints are announced,Metrics/Ideas,assigned,metrics-team,enhancement,Medium,,,Normal,,23 nov. 2013 09:55:24,28 sep. 2017 13:57:28,,,,,,anon,nickm-cares
10680,Provide more statistics on current public bridges,Metrics/Statistics,assigned,metrics-team,enhancement,Medium,,,Normal,,20 ene. 2014 21:37:22,28 sep. 2017 13:57:28,,,,,,sysrqb,bridgedb-parsers
11430,"Add new field last_running for ""seen in a network status with the Running flag"" in addition to last_seen for ""seen in a network status""",Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,7 abr. 2014 16:19:59,6 dic. 2017 04:50:54,,,,,,karsten,
12131,Measure connectivity patterns between relays,Metrics/Analysis,assigned,metrics-team,project,Medium,,,Normal,,27 may. 2014 01:55:18,28 sep. 2017 13:57:28,,,,,,arma,
12522,Add sitemap.xml to make Relay Search pages indexed by Google et al.,Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,3 jul. 2014 12:05:13,16 feb. 2018 14:44:23,,,,,,karsten,metrics-2018
13424,Add new `descriptor` parameter that returns relays or bridges by digest of recently published descriptors,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,15 oct. 2014 14:50:17,6 dic. 2017 04:50:54,,,,,,karsten,
13425,Add new document type `debug` that includes digests of recently published descriptors and statuses they're referenced from,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,15 oct. 2014 15:45:10,6 dic. 2017 04:50:54,,,,,,karsten,
13562,Add more detailed logging to backend and frontend components,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,24 oct. 2014 18:22:59,22 dic. 2017 10:08:54,,#20540,,,,iwakeh,metrics-2018
13600,Improve bulk imports of descriptor archives,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,29 oct. 2014 11:39:24,6 dic. 2017 04:50:54,,,,,,karsten,metrics-2018
15594,Add graph with new relays per day (identified by fingerprint),Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,5 abr. 2015 21:27:30,28 sep. 2017 13:57:28,,,,,,cypherpunks,
15799,Find out why different instances may report different timestamps in last_changed_address_or_port,Metrics/Onionoo,assigned,metrics-team,defect,Medium,,,Normal,,24 abr. 2015 17:51:20,6 nov. 2017 20:22:12,,,,,,cypherpunks,
15844,Develop database schema to support Onionoo's search parameter efficiently,Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,28 abr. 2015 12:26:09,6 dic. 2017 04:50:54,,,,,,karsten,
15848,"Update details documents in a single, atomic step",Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,28 abr. 2015 16:01:46,6 dic. 2017 04:50:54,,,,,,karsten,
16225,Unify exception/error handling in metrics-lib,Metrics/Library,assigned,metrics-team,enhancement,Medium,metrics-lib 3.0.0,,Normal,,28 may. 2015 09:30:01,12 abr. 2018 13:56:38,,,,,,karsten,metrics-2018
16555,Make user statistics more robust against outliers,Metrics/Statistics,assigned,metrics-team,enhancement,Medium,,,Normal,,11 jul. 2015 15:50:18,28 sep. 2017 13:57:28,,,,,,karsten,metrics-2018
16843,Add all bwauth measurements (from votes),Metrics/Onionoo,assigned,metrics-team,enhancement,Medium,,,Normal,,17 ago. 2015 18:08:39,12 ene. 2018 01:30:15,,#24834,,,,cypherpunks,tor-bwauth-needs
16884,"Extend ""Relays by relay flags"" graph to display flag combinations",Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,24 ago. 2015 02:53:19,28 sep. 2017 13:57:28,,,,,,mrphs,usability
17430,Add graph with top-10 countries by directly connecting users,Metrics/Website,assigned,metrics-team,enhancement,Medium,,,Normal,,27 oct. 2015 02:55:11,20 sep. 2017 12:46:09,,,,,,mrphs,UX
