id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Resolution,Modified,Actual Points,Parent ID,Points,Reviewer,Reporter,Keywords
27827,Reproducibility issue of the snowflake osx64 build,Sponsor19,closed,tbb-team,defect,Very High,,Circumvention/Snowflake,Normal,fixed,4 dic. 2018 10:11:00,,#19001,,,boklm,"tbb-rbm, TorBrowserTeam201810R"
28152,Gettor code refactor with Python Twisted,Sponsor19,closed,hiro,enhancement,Very High,,Applications/GetTor,Major,fixed,30 may. 2019 16:46:08,,#28232,,phw,ilv,gettor-roadmap
29618,"Chutney doesn't use python3 if a ""python2"" binary exists, and fails if it uses python3 anyway.",Sponsor19,closed,nickm,defect,Very High,,Core Tor/Chutney,Normal,fixed,11 mar. 2019 00:34:28,.3,,,,nickm,
14744,Automate upload of latest Tor Browser to cloud services,Sponsor19,closed,,defect,High,,Applications/GetTor,Normal,fixed,24 may. 2019 13:00:02,,#28231,,,ilv,gettor-roadmap
27912,Add travis CI for the Chutney repository,Sponsor19,closed,teor,enhancement,High,,Core Tor/Chutney,Normal,fixed,13 mar. 2019 02:16:58,1.5,#20647,0.5,,nickm,
28655,"If a bridge supports obfs4, don't give out its other flavors",Sponsor19,closed,phw,defect,High,,Circumvention/BridgeDB,Normal,fixed,4 jun. 2019 18:25:42,5,,2,,arma,bridgedb
28925,distinguish PT vs proxy for real in bootstrap tracker,Sponsor19,closed,catalyst,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,fixed,26 mar. 2019 23:44:31,2,#28018,2,nickm,catalyst,"asn-merge, teor-merge, s8-bootstrap, usability, ux, tor-pt, tbb-needs, 040-must, network-team-roadmap-2019-Q1Q2"
28928,update control-spec.txt for new bootstrap phases,Sponsor19,closed,catalyst,task,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,implemented,25 feb. 2019 18:35:02,,#28018,,teor,catalyst,"sponsor19-also, s8-bootstrap, tor-spec, postfreeze-ok, 040-must, spec, nickm-merge"
29136,PT_LOG and PT_STATUS event fields unspecifed,Sponsor19-can,needs_revision,atagar,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,,16 may. 2019 15:23:07,,,,ahf,atagar,"tor-spec, tor-pt, 040-must documentation"
29229,Does anybody notice if the bridge auth goes away?,Sponsor19,closed,dgoulet,defect,High,,Circumvention/BridgeDB,Normal,fixed,17 abr. 2019 21:54:56,1,#30152,2,,gaba,"bridgedb, network-team-roadmap-2019-Q1Q2"
29280,Use Chutney in Tor's CI,Sponsor19,needs_revision,,task,High,Tor: 0.4.2.x-final,Core Tor/Tor,Normal,,30 may. 2019 16:49:53,1,#29267,1,,cohosh,"CI, PTs, 029-backport, 034-backport, 035-backport, 040-backport, network-team-roadmap-2019-Q1Q2, reviewer-was-teor-20190422, tor-ci, 041-deferred-20190530"
29426,proxy-go instances not available,Sponsor19,closed,,defect,High,,Circumvention/Snowflake,Normal,duplicate,7 feb. 2019 19:24:08,,,,,cohosh,snowflake
29562,APPCRASH of tor.exe on Windows when PT bootstrap is cancelled,Sponsor19,closed,ahf,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,fixed,28 feb. 2019 20:00:50,0.3,,0.3,dgoulet,dcf,regression 040-must crash nickm-merge
29874,torrc no longer accepts space in executable paths,Sponsor19-must,closed,ahf,defect,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,fixed,27 mar. 2019 02:33:12,0.1,,1,cohosh,cypherpunks,"040-must, regression, Windows, 040-backport, teor-merge, asn-merge, nickm-merge"
30472,Implement a mechanism for PT reachability testing,Sponsor19,closed,phw,project,High,,Circumvention/Pluggable transport,Major,fixed,31 may. 2019 23:21:30,2,#30471,,,phw,reachability
1593,Implement test (-t switch) functionality,Sponsor19,closed,kaner,task,Medium,,Applications/GetTor,Normal,fixed,24 may. 2019 12:58:44,,#28152,,,phobos,gettor-roadmap
8542,More options on how to get the bundles,Sponsor19-can,closed,,enhancement,Medium,,Applications/GetTor,Normal,duplicate,19 abr. 2019 20:12:42,,#28232,,,mrphs,gettor-roadmap
15522,Write Protobufs for any BridgeDB data which must be sent over a network or IPC channel,Sponsor19,closed,,enhancement,Medium,,Circumvention/BridgeDB,Normal,wontfix,28 ene. 2019 15:11:34,,,13,,isis,"bridgedb-db, metrics, protobuf"
16671,Design a new Bridge Distributor for Tor Browser,Sponsor19,closed,,enhancement,Medium,,Circumvention/BridgeDB,Normal,fixed,12 feb. 2019 17:30:33,,,5,,isis,"bridgedb-dist, tor-browser-wants"
18076,Bridges email inconsistent + not receiving emails,Sponsor19,closed,,defect,Medium,,Circumvention/BridgeDB,Normal,not a bug,9 abr. 2019 22:39:31,0.2,,1,,cypherpunks,bridgedb-email
