id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Actual Points,Parent ID,Points
29461,Add a Snowflake module,Sponsor28,closed,metrics-team,enhancement,Medium,,Metrics/CollecTor,,,8
30830,Clean up snowflake broker logs,Sponsor28,closed,cohosh,task,Medium,,Circumvention/Snowflake,.3,,
30867,Write proxy-go tests to cover existing implementation,Sponsor28,needs_review,cohosh,defect,Medium,,Circumvention/Snowflake,2,#29259,2
30868,Modify client rendezvous library to remove hard-coded responses,Sponsor28,closed,,defect,Medium,Tor: unspecified,Circumvention/Snowflake,,#29259,
30878,Set up snowbox to simulate censorship,Sponsor28,assigned,cohosh,task,Medium,,Circumvention/Snowflake,,#29259,2
30978,Get snowflake metrics published,Sponsor28,closed,,task,Medium,,Circumvention/Snowflake,,,
31100,Firefox addon not reporting any users,Sponsor28,closed,cohosh,defect,Very High,,Circumvention/Snowflake,,,2
31101,Update websocket version in snowflake proxy,Sponsor28,closed,cohosh,defect,Medium,,Circumvention/Snowflake,,,.3
31109,Better gamify the UX for snowflake extension,Sponsor28,new,,enhancement,Medium,,Circumvention/Snowflake,,,2
31151,Make pre-compiled binaries for proxy-go,Sponsor28,new,,task,Medium,,Circumvention/Snowflake,,,1
31157,Collect metrics about what type of proxies are running,Sponsor28,new,,enhancement,Medium,,Circumvention/Snowflake,,,3
31200,Hand out proxy-go snowflakes more frequently than webextension snowflakes,Sponsor28,closed,cohosh,defect,Medium,,Circumvention/Snowflake,,#25681,
31201,Allow webextension users to specify how many resources it uses,Sponsor28,new,,defect,Medium,,Circumvention/Snowflake,,,
31310,Refactor/remove proxy-pair state machine in webextension,Sponsor28,closed,cohosh,defect,Medium,,Circumvention/Snowflake,,,2
31376,Make a /metrics handle at the snowflake broker for the stats collector,Sponsor28,closed,cohosh,enhancement,Medium,,Circumvention/Snowflake,,,1
31384,localize snowflake website,Sponsor28,closed,cohosh,enhancement,Medium,,Circumvention/Snowflake,2.5,,
31493,Add a version to the metrics output,Sponsor28,closed,cohosh,defect,Medium,,Circumvention/Snowflake,,,
31804,Authentication for proxy--bridge connections,Sponsor28,new,,defect,Medium,,Circumvention/Snowflake,,,
31971,Snowflake is *consistently* extremely slow when using the Windows build,Sponsor28,needs_information,cohosh,defect,Medium,,Circumvention/Snowflake,.5,,3
31982,Problems with Gettor,Sponsor28,assigned,hiro,defect,Medium,,Applications/GetTor,,,
