id,Summary,Status,Owner,Type,Priority,Milestone,Component,Version,Severity,Resolution,Created,Modified,Actual Points,Parent ID,Points,Reviewer,Reporter,Keywords
24760,King James,closed,,defect,Immediate,HTTPS-E next Firefox dev release,Webpages/Website,Tor: 0.3.2.6-alpha,Normal,invalid,29 dic. 2017 08:05:22,29 dic. 2017 13:26:43,,,,,Sandman,
29607,2019 Q1: Denial of service on v2 and v3 onion service,needs_information,pidgin,defect,Immediate,Tor: 0.4.2.x-final,Core Tor/Tor,,Normal,,27 feb. 2019 13:39:01,31 may. 2019 20:41:45,,#29999,10,,pidgin,"tor-hs, tor-dos, network-team-roadmap-2019-Q1Q2, security, 041-longterm, 041-deferred-20190530"
7349,"Obfsbridges should be able to ""disable"" their ORPort",new,,project,Very High,Tor: unspecified,Core Tor/Tor,,Normal,,7 nov. 2012 01:03:14,5 jun. 2019 20:50:44,,,10,,asn,"tor-bridge, SponsorZ, tor-pt, proposal-needed, censorship, sponsor19, 040-roadmap-proposed, anti-censorship-roadmap"
13410,Disable self-signed certificate warnings when visiting .onion sites,reopened,tbb-team,defect,Very High,,Applications/Tor Browser,,Normal,,14 oct. 2014 18:40:20,10 abr. 2019 06:49:48,,#30025,,,tom,ux-team
19001,Tor Browser with Snowflake,new,,project,Very High,,Circumvention/Snowflake,,Critical,,9 may. 2016 16:58:26,5 jun. 2019 20:50:44,,,,,dcf,ex-sponsor-19
22893,prop224: Make intro point per-service and not per-descriptor,assigned,,enhancement,Very High,Tor: unspecified,Core Tor/Tor,,Normal,,12 jul. 2017 13:27:16,14 jun. 2019 19:02:19,,,3,,dgoulet,"tor-hs, prop224-extra, 034-triage-20180328, 034-removed-20180328"
27471,HS intermittently fails: Non-fatal assertion failed in send_introduce1,assigned,,defect,Very High,Tor: 0.3.4.x-final,Core Tor/Tor,Tor: 0.3.2.1-alpha,Minor,,5 sep. 2018 13:14:43,14 jun. 2019 19:02:19,,#29995,3,asn,tgragnato,"tor-hs, 035-backport, 034-unreached-backport, network-team-roadmap-2019-Q1Q2"
28634,Design a first useful padding machine (hiding client-side intro/rend circuits),closed,mikeperry,defect,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,implemented,27 nov. 2018 16:18:13,5 jun. 2019 13:13:03,,,8,mikeperry,asn,"wtf-pad, tor-relay, tor-cell, padding, 041-proposed, network-team-roadmap-2019-Q1Q2, 041-should, nickm-merge, dgoulet-merge"
28780,circpadding: Add machine flag for not closing circuit if machine is active,closed,,defect,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,fixed,7 dic. 2018 14:53:41,15 may. 2019 15:46:01,6,#28634,5,asn,asn,"wtf-pad, tor-relay, tor-cell, padding, 041-proposed, network-team-roadmap-2019-Q1Q2"
29085,WTF-PAD: Reduce monotime usage because of performance issues,closed,,defect,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,fixed,14 ene. 2019 13:24:03,15 may. 2019 12:14:31,,#28634,4,nickm,asn,"wtf-pad, tor-relay, tor-cell, padding, 041-proposed, network-team-roadmap-2019-Q1Q2, asn-merge"
29204,Inspect circuit queue during padding decisions,closed,,defect,Very High,Tor: 0.4.0.x-final,Core Tor/Tor,,Normal,fixed,30 ene. 2019 12:03:00,8 mar. 2019 21:09:53,3,#28634,5,dgoulet,mikeperry,"wtf-pad, 041-proposed, network-team-roadmap-2019-Q1Q2, nickm-merge"
29207,New design for broker -- proxy protocol for snowflakes,assigned,ahf,task,Very High,,Circumvention/Snowflake,,Normal,,30 ene. 2019 15:18:42,13 jun. 2019 18:53:55,,,5,,cohosh,"snowflake, design, ex-sponsor-19, anti-censorship-roadmap"
29279,Test obfs4 reachability,closed,cohosh,task,Very High,,Circumvention/Obfs4,,Normal,fixed,1 feb. 2019 09:57:59,12 jun. 2019 22:06:22,,,,,cohosh,"NGO, community, anti-censorship-roadmap"
29298,Explicitly specify histogram bin endpoints/widths,closed,,defect,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,fixed,1 feb. 2019 14:36:38,13 mar. 2019 14:38:54,6,#28631,5,mikeperry,mikeperry,wtf-pad 041-proposed network-team-roadmap-2019-Q1Q2
29919,"Tor DOS attack help, can a dev take this seriously please?",closed,,defect,Very High,,Core Tor/Tor,,Normal,duplicate,27 mar. 2019 11:46:23,27 mar. 2019 13:12:30,,,,,HelpDOS,
13747,Block non .onion content on .onion addresses (mixed content blocking),new,tbb-team,enhancement,High,,Applications/Tor Browser,,Normal,,13 nov. 2014 00:44:33,2 abr. 2019 09:40:41,,,,,legind,"tbb-security, TorBrowserTeam201903"
20813,Start producing snowflakes,new,,defect,High,,Circumvention/Snowflake,,Normal,,28 nov. 2016 18:53:58,13 jun. 2019 18:39:52,,,3,,arlolra,anti-censorship-roadmap
23764,hs-v3: No live consensus on client with a bridge,assigned,,defect,High,Tor: unspecified,Core Tor/Tor,,Normal,,4 oct. 2017 14:10:59,14 jun. 2019 19:02:19,,#29995,10,,dgoulet,"tor-hs, prop224, technical-debt, 034-triage-20180328, 034-removed-20180328, network-team-roadmap-2019-Q1Q2"
24192,"When I visit a V3 onion that supplies a invalid certificate, torbrowser will lookup the onion when the get certifice button is clicked",new,tbb-team,defect,High,,Applications/Tor Browser,,Major,,9 nov. 2017 04:33:27,8 abr. 2019 12:45:32,,,,,Dbryrtfbcbhgf,
25483,Windows reproducible build of snowflake,accepted,cohosh,project,High,,Circumvention/Snowflake,,Normal,,13 mar. 2018 22:02:03,13 jun. 2019 22:36:26,,#19001,,,arlolra,"TorBrowserTeam201805, ex-sponsor-19, anti-censorship-roadmap"
25882,clients not detecting stale onion service introduction points,assigned,,defect,High,Tor: unspecified,Core Tor/Tor,,Normal,,21 abr. 2018 12:28:51,14 jun. 2019 19:02:19,,#30200,16,,cypherpunks,"tor-hs, 034-deferred-20180602 035-removed reachability"
27385,https://snowflake.torproject.org/embed is confusing,new,,defect,High,,Circumvention/Snowflake,,Major,,29 ago. 2018 16:05:53,5 jun. 2019 20:46:19,,,,,cypherpunks3,"snowflake, ux-team, ex-sponsor-19"
28018,Improve accuracy and usefulness of information reported to controllers about bootstrap status,assigned,catalyst,enhancement,High,Tor: unspecified,Core Tor/Tor,,Normal,,12 oct. 2018 14:11:57,5 jun. 2019 20:50:44,,,,,nickm,"network-team-roadmap-2019-Q1Q2, bootstrap"
28533,bridgesdb: replace the message to mail support with a link to the documentation,assigned,phw,defect,High,,Circumvention/BridgeDB,,Normal,,20 nov. 2018 07:55:14,5 jun. 2019 20:50:44,,,1,,emmapeel,ex-sponsor-19
28636,Address WTF-PAD comments by Nick (2018-11-27 over IRC),closed,,defect,High,Tor: 0.4.1.x-final,Core Tor/Tor,Tor: 0.4.0.1-alpha,Normal,fixed,27 nov. 2018 16:35:06,25 mar. 2019 13:04:04,5,#28632,3,nickm,asn,"wtf-pad, tor-relay, tor-cell, padding, 041-proposed, network-team-roadmap-2019-Q1Q2"
28693,Add an option to disable circuit padding,closed,,defect,High,Tor: 0.4.1.x-final,Core Tor/Tor,,Normal,fixed,3 dic. 2018 04:42:43,13 may. 2019 18:36:18,0.33,#28634,0.5,asn,teor,"wtf-pad, tor-relay, tor-cell, padding, 041-must"
