id,Summary,Status,Owner,Type,Priority,Milestone,Component,Severity,Resolution,Modified,Actual Points,Parent ID,Points,Reviewer,Reporter,Keywords
24637,moat: incorrect response if no bridges available,closed,isis,defect,Immediate,,Circumvention/BridgeDB,Normal,fixed,21 dic. 2017 16:10:26,,#24689,1,,mcs,"bridgedb-moat, bridgedb-distributors"
23751,"[warn] tor_bug_occurred_: Bug: src/common/buffers.c, etc.",closed,dgoulet,defect,Very High,Tor: 0.3.2.x-final,Core Tor/Tor,Normal,fixed,8 nov. 2017 16:03:16,,#23993,,,Felixix,"tor-channel, tor-sched, tor-buffer"
23862,Tor only updates guard state after a consensus if it has enough directory info,closed,asn,defect,Very High,Tor: 0.3.1.x-final,Core Tor/Tor,Normal,fixed,12 dic. 2017 14:20:45,,#21969,1,,teor,"tor-guard, tor-bridge, tor-client, 030-backport, 031-backport"
24636,moat-transports response not sent,closed,isis,defect,Very High,,Circumvention/BridgeDB,Normal,fixed,20 dic. 2017 22:55:58,,#24689,1,,mcs,bridgedb-moat
26378,test_rust.sh fails on src/rust/crypto,closed,,defect,Very High,Tor: 0.3.4.x-final,Core Tor/Tor,Normal,fixed,18 jun. 2018 17:11:54,,,1,isis,asn,rust tor-tests
30363,prop289: Implement FlowCtrl protover value,closed,dgoulet,enhancement,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,Normal,fixed,14 may. 2019 12:18:44,,#26288,1,nickm,dgoulet,"prop289, sendme, 041-must, asn-merge"
30428,sendme: Failure to validate authenticated SENDMEs client side,closed,dgoulet,defect,Very High,Tor: 0.4.1.x-final,Core Tor/Tor,Normal,fixed,22 may. 2019 15:52:24,,#26288,1,nickm,dgoulet,"tor-circuit, sendme, 041-must, 0411-alpha, postfreeze-ok"
4581,Dir auths should defend themselves from too many begindir requests per address,needs_revision,,defect,High,Tor: unspecified,Core Tor/Tor,Normal,,23 feb. 2018 17:36:32,,,3,,arma,"prop258, tor-dos, tor-dirauth"
19281,Potential heap corruption via `write_escaped_data` in control.c,closed,nickm,defect,High,Tor: 0.3.2.x-final,Core Tor/Tor,Normal,fixed,24 ago. 2017 13:26:56,,,0.5,dgoulet,asn,"tor-bug-bounty, heap-correctness, disaster-waiting-to-happen, review-group-22"
22789,Tor 0.3.1.4-alpha crash on OpenBSD-current,closed,nickm,defect,High,Tor: 0.3.1.x-final,Core Tor/Tor,Major,fixed,6 sep. 2017 17:24:29,3,,,,fredzupy,"tor, crash, inet_pton, c99, openbsd, 024-backport, 025-backport, 026-backport, 027-backport, 028-backport, 029-backport, 030-backport, review-group-20 trove-2017-007"
23709,channel: `outgoing_queue` and `incoming_queue` are always empty,closed,dgoulet,defect,High,Tor: 0.3.3.x-final,Core Tor/Tor,Normal,fixed,8 dic. 2017 19:46:35,,#23993,,nickm,dgoulet,tor-sched
