id,Summary,Status,Type,Owner,Priority,Milestone,Component,Version,Severity,Created,Modified,Parent ID,Points,Reviewer,Reporter,Keywords
12412,Orbot broke using TransPort,new,defect,n8fr8,Immediate,,Applications/Orbot,,Blocker,17 jun. 2014 12:15:56,24 ene. 2019 19:48:56,,,,isis,"orbot-14.0.3.1, orbot-14.0.4, software-engineering"
21444,Webcam light flashes when I open NoScript menu,needs_information,defect,tbb-team,Immediate,,Applications/Tor Browser,,Critical,12 feb. 2017 19:00:06,8 sep. 2018 23:23:05,,,,ChatTor,
24698,"Torbrowser keeps hanging and freezing, plus it takes a very long time to load after hibernation",needs_information,defect,tbb-team,Immediate,,Applications/Tor Browser,,Critical,21 dic. 2017 21:10:24,16 jul. 2018 22:30:10,,,,justmeee,tbb-performance
27955,wont let me load up tor at all,new,defect,tbb-team,Immediate,,Applications/Tor Browser,Tor: unspecified,Critical,4 oct. 2018 20:18:31,25 feb. 2019 12:47:12,,,,Stealth266,
28406,apps VPN selection UI is not shown,new,defect,n8fr8,Immediate,,Applications/Orbot,,Normal,12 nov. 2018 06:32:56,12 nov. 2018 06:32:56,,,,farhadnamir_2003,
28414,Tor doesn't load,needs_information,defect,tbb-team,Immediate,,Community/Tor Support,,Blocker,12 nov. 2018 21:38:22,30 nov. 2018 09:31:11,,,,Waaaanm987,
28690,"Problems running, installing and updating Torbrowser",needs_information,defect,tbb-team,Immediate,,Applications/Tor Browser,,Critical,3 dic. 2018 01:53:00,11 dic. 2018 08:30:54,,,,justmeee,
29771,cannot reopen my tor,needs_information,defect,tbb-team,Immediate,,Applications/Tor Browser,,Normal,13 mar. 2019 13:47:06,14 mar. 2019 07:37:38,,,,colis,
2340,"protect users against freeze, replay  and version-rollback attacks",assigned,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,31 dic. 2010 14:33:41,14 ago. 2018 02:48:36,#3893,,,rransom,tbb-security
2482,TLS issues with Torbutton,assigned,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,3 feb. 2011 09:51:59,21 ago. 2016 15:02:47,,,,mikeperry,tbb-torbutton
9790,The Torbutton startup observer component is sometimes not initialized,new,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,20 sep. 2013 09:59:56,6 dic. 2017 04:50:54,#9809,,,gk,tbb-torbutton
10507,firefox 24.0 in tbb 3.5 is leaking referring page data,needs_information,defect,tbb-team,Very High,,Applications/Tor Browser,,Normal,28 dic. 2013 17:12:48,14 ago. 2018 14:23:25,,,,unclejed613,"tbb-3.0, tbb-firefox-patch"
13957,Orbot not starting on lollipop (Nexus 4),new,defect,n8fr8,Very High,,Applications/Orbot,,Normal,14 dic. 2014 20:55:55,6 dic. 2017 04:50:54,,,,atthedoghouse,"orbot, lollipop, nexus 4"
