id,Summary,Sponsor,Status,Owner,Type,Priority,Milestone,Component,Severity,Keywords
24855,Make Torbutton functionality available on Mobile,Sponsor8,new,tbb-team,defect,Very High,,Applications/Tor Browser,Normal,"tbb-mobile, tbb-torbutton, TBA-a3, TorBrowserTeam201901"
26858,TBA: Investigating patching AccountManager,Sponsor8,needs_review,tbb-team,defect,Very High,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901R"
27146,Mismatched digest in 0.3.3.9 and master mixed chutney network,Sponsor8-can,assigned,teor,defect,Very High,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,"regression, tor-dirauth, macOS, 035-roadmap-proposed, 035-can"
27609,TBA: Evaluate Tor Onion Proxy Library,Sponsor8,new,tbb-team,defect,Very High,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
28329,Design TBA+Orbot configuration UI/UX,Sponsor8,new,tbb-team,enhancement,Very High,,Applications/Tor Browser,Normal,"tbb-mobile, ux-team, TBA-a3, TorBrowserTeam201901"
28558,Crash in memoize_protover_summary() when cache is full,Sponsor8,assigned,nickm,defect,Very High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
28705,Tor Browser on Android is crashing on newer Android devices (>= Android N) by file download,Sponsor8,needs_revision,tbb-team,defect,Very High,,Applications/Tor Browser,Normal,"tbb-mobile, tbb-crash, TBA-a3, TorBrowserTeam201901"
10059,capture tor log messages before control connection is opened,Sponsor8,new,nickm,enhancement,High,Tor: unspecified,Core Tor/Tor,Normal,"tbb-usability, extdev-interview, tbb-needs, 034-triage-20180328, 035-removed-20180711"
23289,Improving HS reachability for Orbot/Android users,Sponsor8-can,new,n8fr8,enhancement,High,Tor: unspecified,Core Tor/Tor,Normal,"orbot, mobile, android, 034-triage-20180328, 034-removed-20180328"
23508,large clock skews cause numerous bootstrap UX issues,Sponsor8-can,new,,defect,High,Tor: unspecified,Core Tor/Tor,Major,"bootstrap, clock-skew, usability, ux, 032-unreached, s8-errors"
23573,Do we want to close all connections when tor closes?,Sponsor8,needs_revision,,enhancement,High,Tor: 0.3.5.x-final,Core Tor/Tor,Normal,"shutdown, privcount, correctness, chutney-wants, review-group-24, 034-triage-20180328, 034-included20180401, 035-roadmap-subtask, 035-triaged-in-20180711"
23882,Investigate implementing a Rust allocator wrapping tor_malloc,Sponsor8-can,new,,enhancement,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"rust, rust-pilot, 034-triage-20180328, 034-removed-20180328"
24061,Collect Baseline Measurements for Different Android Performance Metrics,Sponsor8,assigned,ahf,project,High,Tor: unspecified,Core Tor/Tor,Normal,"s8-perf, s8-201710, 034-triage-20180328, 034-removed-20180328"
25764,TBA - Activity 4.1: Improve how circuits are displayed to the user,Sponsor8,new,tbb-team,defect,High,,Applications/Tor Browser,Normal,"ux-team, tbb-mobile, tbb-torbutton, TBA-a3, TorBrowserTeam201901"
26529,TBA - Notify user about possible proxy-bypass before opening external app,Sponsor8,new,tbb-team,defect,High,,Applications/Tor Browser,Normal,"tbb-mobile, tbb-torbutton, TBA-a3, TorBrowserTeam201901"
26782,TBA: Translation/Localization Support,Sponsor8,new,tbb-team,project,High,,Applications/Tor Browser,Normal,"tbb-mobile, TBA-a3, TorBrowserTeam201901"
27210,TBA - Support i386 target,Sponsor8,new,tbb-team,enhancement,High,,Applications/Tor Browser,Normal,"tbb-mobile, tbb-rbm, TBA-a3, TorBrowserTeam201901"
27399,Leading Orfox users to Tor Browser Android,Sponsor8,new,tbb-team,enhancement,High,,Applications/Tor Browser,Normal,"ux-team, tbb-mobile, TBA-a3, TorBrowserTeam201901"
28685,Tor Browser for Android needs a more dynamic Build ID,Sponsor8,new,tbb-team,defect,High,,Applications/Tor Browser,Normal,"tbb-mobile, tbb-rbm, TBA-a3, TorBrowserTeam201901"
28803,Integrate building pluggable transports for Android into tor-browser-build,Sponsor8,needs_review,tbb-team,task,High,,Applications/Tor Browser,Normal,"tbb-rbm, tbb-mobile, TBA-a3, TorBrowserTeam201901R, tor-pt"
28849,Handle dormant mode in process library and for PT's,Sponsor8,new,,enhancement,High,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,
2681,brainstorm ways to let Tor clients use yesterday's consensus more safely,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"prop212, tor-client, small-feature, tor-dos-dirauth, low-bandwidth, sponsor4, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328 035-removed"
7707,Impose a minimum write size for TLS writes,Sponsor8-can,needs_information,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-relay, performance, bwbug, bandwidth sponsor8-maybe tls nagle, 032-unreached"
7743,Avoid needless wasted space in cells,Sponsor8-can,needs_revision,nickm,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-relay, bwbug, nagle, sponsor8-maybe"
7747,SENDME doesn't need to trigger packaging so aggressively,Sponsor8-can,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-relay, sendme, nagle, bandwidth, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
10510,Getting a lot of system clock jumped messages,Sponsor8-can,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-relay, tor-client, sponsor8-maybe, timekeeping, wakeup, 032-unreached"
11966,"""Bootstrapped 20%: Asking for networkstatus consensus"" is a lie for bridge users",Sponsor8-can,needs_revision,,defect,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"tor-bridge, sponsor8-maybe, bootstrap, 033-triage-20180320, 033-removed-20180320"
16387,Improve reachability of hidden services on mobile phones,Sponsor8-can,new,,enhancement,Medium,Tor: unspecified,Core Tor/Tor,Normal,"tor-hs, sponsor8-maybe, 034-triage-20180328, 034-removed-20180328"
17520,Relax the rend cache failure cleanup timer,Sponsor8-can,needs_information,neel,enhancement,Medium,Tor: 0.4.0.x-final,Core Tor/Tor,Normal,"tor-hs, tor-client, prop224"
19522,HS intro circuit retry logic fails when network interface is down,Sponsor8-can,needs_revision,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,tor-hs tor-retry bootstrap network-down
19665,Should *Port_set count sockets?,Sponsor8,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,tor-control technical-debt config torrc startup
21358,Tor fails to reconnect after computer resumes from sleep,Sponsor8-can,new,,defect,Medium,Tor: unspecified,Core Tor/Tor,Normal,"sleep, wakeup, power-management, online-detection, tor-client, sponsor8-maybe, 033-triage-20180320, 033-removed-20180320"
